id,site,platform,url,formFactor,condition,runIdx,score,fcp,lcp,tbt,cls,si,tti,bytes,requests,ttfb,mainDocBytes,platformBytes,platformReqs,lhDurationMs,timestamp,error
urbanarmorgear_mobile_baseline_1,urbanarmorgear,Maestra,https://urbanarmorgear.com,mobile,baseline,1,0.08,8268.566899999998,58811.736299999975,3597.000000000011,0.34470300000000004,31951.782361435,62042.57486000001,43580344,427,284.342,35113,234254,20,56389,2026-05-21T18:38:29.581Z,
urbanarmorgear_mobile_blocked_1,urbanarmorgear,Maestra,https://urbanarmorgear.com,mobile,blocked,1,0.21,8519.55475,48322.92109999996,3475.4999999999873,0.134508,28774.57915674689,49853.69714999996,38186051,364,144.326,35113,0,1,54816,2026-05-21T18:39:24.439Z,
urbanarmorgear_mobile_baseline_2,urbanarmorgear,Maestra,https://urbanarmorgear.com,mobile,baseline,2,0.09,8741.6476,55406.14749999999,3268.999999999989,0.34470300000000004,29047.796342100217,58602.092694999985,40394845,426,307.616,35113,62499,20,55745,2026-05-21T18:40:20.233Z,
urbanarmorgear_mobile_blocked_2,urbanarmorgear,Maestra,https://urbanarmorgear.com,mobile,blocked,2,0.21,8276.600699999999,54901.53175000003,2904.0000000000036,0.126912,31183.729518629625,57380.77754500003,40094393,381,152.465,35114,0,2,55712,2026-05-21T18:41:15.997Z,
urbanarmorgear_mobile_baseline_3,urbanarmorgear,Maestra,https://urbanarmorgear.com,mobile,baseline,3,0.08,8191.61275,57241.52075,3688.0000000000036,0.34470300000000004,29699.32100891148,60132.27277499999,42961083,444,564.327,35113,62535,22,56398,2026-05-21T18:42:12.439Z,
urbanarmorgear_mobile_blocked_3,urbanarmorgear,Maestra,https://urbanarmorgear.com,mobile,blocked,3,0.2,8197.755275000001,58058.06487499997,3730.4999999999836,0.134508,21876.167220186944,60522.30403999996,43429933,387,731.605,35113,0,2,20043,2026-05-21T18:42:32.504Z,
urbanarmorgear_mobile_baseline_4,urbanarmorgear,Maestra,https://urbanarmorgear.com,mobile,baseline,4,0.09,8205.47795,50253.44510999997,3574.499999999993,0.33710700000000005,27542.37294998215,53298.598143999974,39195988,422,161.31300000000002,35115,262745,19,55050,2026-05-21T18:43:27.570Z,
urbanarmorgear_mobile_blocked_4,urbanarmorgear,Maestra,https://urbanarmorgear.com,mobile,blocked,4,0.21,8183.0714,48944.69012999998,2926.0000000000036,0.126912,28549.843363438704,52152.81214699999,38664635,373,191.326,35113,0,1,54321,2026-05-21T18:44:21.944Z,
urbanarmorgear_mobile_baseline_5,urbanarmorgear,Maestra,https://urbanarmorgear.com,mobile,baseline,5,0.09,8375.5614,48673.6697,3139.9999999999873,0.33710700000000005,27144.772593083027,52997.97185,39457260,411,132.31300000000002,35112,262587,19,56145,2026-05-21T18:45:18.138Z,
urbanarmorgear_mobile_blocked_5,urbanarmorgear,Maestra,https://urbanarmorgear.com,mobile,blocked,5,0.21,8142.682899999998,52430.13189999998,3214.1027000000026,0.126912,31288.169318247517,54999.34907999997,43239899,364,148.073,35114,0,1,55004,2026-05-21T18:46:13.187Z,
